时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,114,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,PC,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,79,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,PC,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,78,4,5.13%,14.68,188.21,3.67,-,-,-,-,
20190604~20190626,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,77,2,2.60%,10.45,135.71,5.23,-,-,-,-,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,72,4,5.56%,18.07,250.97,4.52,-,-,-,-,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),V1_洗碗机_单投,搜索-核心,71,9,12.68%,47.34,666.76,5.26,1,2499.00,11.11%,52.79,
20190604~20190626,默认购买人群,京选人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,64,-,-,1.10,17.19,-,-,-,-,-,
20190604~20190626,【新】家装未浏览洗消,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,55,4,7.27%,16.64,302.55,4.16,-,-,-,-,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,51,4,7.84%,19.42,380.78,4.86,1,2299.00,25.00%,118.38,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,43,1,2.33%,2.83,65.81,2.83,-,-,-,-,
20190604~20190626,【新】浏览洗碗机竞品未购买,新标签人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,30,1,3.33%,0.72,24.00,0.72,-,-,-,-,
20190604~20190626,【新】618大促京东快车广告再营销人群,京选人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,15,1,6.67%,0.31,20.67,0.31,-,-,-,-,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,14,1,7.14%,11.63,830.71,11.63,-,-,-,-,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,3,-,-,0.07,23.33,-,-,-,-,-,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,2,-,-,0.05,25.00,-,-,-,-,-,
